New York,18972871,40.6943,-73.9249
Los Angeles,12121244,34.1141,-118.4068
Chicago,8595181,41.8375,-87.6866
Miami,5711945,25.784,-80.2101
Dallas,5668165,32.7935,-96.7667
Houston,5650910,29.786,-95.3885
Philadelphia,5512873,40.0077,-75.1339
Atlanta,5046555,33.7628,-84.422
Washington,4810669,38.9047,-77.0163
Boston,4208580,42.3188,-71.0852
Phoenix,4047095,33.5722,-112.0892
Detroit,3522856,42.3834,-83.1024
Seattle,3438221,47.6211,-122.3244
San Francisco,3290197,37.7558,-122.4449
San Diego,3084174,32.8313,-117.1222
Minneapolis,2856952,44.9635,-93.2678
Tampa,2683956,27.9945,-82.4447
Denver,2650725,39.762,-104.8758
Baltimore,2205092,39.3051,-76.6144
Las Vegas,2150373,36.2333,-115.2654
St. Louis,2092481,38.6359,-90.2451
Portland,2036875,45.5371,-122.65
Riverside,2022285,33.9381,-117.3949
Orlando,1927699,28.4773,-81.337
Sacramento,1924167,38.5677,-121.4685
San Antonio,1910785,29.4632,-98.5238
Pittsburgh,1720279,40.4397,-79.9763
Cincinnati,1712287,39.1413,-84.506
Cleveland,1683059,41.4764,-81.6805
Indianapolis,1659305,39.7771,-86.1458
Austin,1659251,30.3005,-97.7522
Kansas City,1644497,39.1238,-94.5541
Columbus,1556848,39.9862,-82.9855
Charlotte,1516107,35.2083,-80.8303
Virginia Beach,1500764,36.7335,-76.0435
Milwaukee,1340981,43.0642,-87.9675
Providence,1270149,41.823,-71.4187
Jacksonville,1220191,30.3322,-81.6749
Salt Lake City,1135344,40.7776,-111.9311
Nashville,1098486,36.1715,-86.7842
Raleigh,1062018,35.8324,-78.6429
Memphis,1034498,35.1087,-89.9663
Louisville,1022630,38.1663,-85.6485
Richmond,1008069,37.5295,-77.4756
Buffalo,1004655,42.9018,-78.8487
Oklahoma City,994284,35.4676,-97.5136
Bridgeport,975078,41.1918,-73.1954
New Orleans,925443,30.0687,-89.9288
Fort Worth,908469,32.7817,-97.3474
Hartford,907046,41.7661,-72.6834
Tucson,875284,32.1541,-110.8787
Honolulu,835291,21.3294,-157.846
McAllen,809002,26.2252,-98.2467
Omaha,806485,41.2627,-96.0529
El Paso,794344,31.8476,-106.43
Albuquerque,765693,35.1054,-106.6465
Rochester,737309,43.168,-77.6162
Sarasota,727388,27.3387,-82.5432
Fresno,719558,36.783,-119.7939
Tulsa,715983,36.1283,-95.9042
Allentown,714136,40.5961,-75.4756
Dayton,709300,39.7805,-84.2003
Birmingham,704676,33.5279,-86.7971
Charleston,685517,32.8168,-79.9687
Cape Coral,682773,26.6443,-81.9957
Columbia,640502,34.0378,-80.9036
Concord,640270,37.9722,-122.0016
Colorado Springs,628808,38.8674,-104.7605
Springfield,620494,42.1155,-72.5395
Knoxville,619925,35.9692,-83.9496
Baton Rouge,610751,30.442,-91.1311
Ogden,608259,41.2279,-111.9682
Grand Rapids,604311,42.9619,-85.6562
Albany,604077,42.6664,-73.7987
Bakersfield,590845,35.3529,-119.0359
Mission Viejo,588540,33.6096,-117.6551
New Haven,587648,41.3113,-72.9246
Worcester,573573,42.2705,-71.8079
Provo,551645,40.2457,-111.6457
Akron,546549,41.0798,-81.5219
Palm Bay,528322,27.9631,-80.6593
Des Moines,514654,41.5725,-93.6105
Murrieta,509526,33.5719,-117.1909
Mesa,497752,33.4015,-111.7178
Wichita,491916,37.6895,-97.3443
Toledo,490832,41.6638,-83.5827
Harrisburg,472261,40.2752,-76.8843
Port St. Lucie,468979,27.2796,-80.3884
Long Beach,466565,33.7977,-118.167
Reno,463328,39.5497,-119.8483
Madison,461778,43.0822,-89.393
Little Rock,457379,34.7256,-92.3577
Greenville,450487,34.8354,-82.3646
Denton,445814,33.2175,-97.1418
Spokane,440270,47.6671,-117.433
Oakland,437548,37.7904,-122.2166
Lancaster,430621,40.042,-76.3012
Poughkeepsie,423386,41.695,-73.9211
Boise,422665,43.6005,-116.2308
Winston-Salem,420400,36.1029,-80.261
